"","PIECETAG","STEMTAG","QUADNAME","QX.x","QY.x","SPCODE","BDS.2014","BDS.2017","BDS.2021","DC.2014","DC.2017","DC.2021","TOPDIAM.2014","TOPDIAM.2017","TOPDIAM.2021","DBH.2014","DBH.x","DBH.2017","DBH.y","DBH.2019","DBH.2021","LENGTH.2014","LENGTH.2017","LENGTH.2021","HEIGHT.2014","HEIGHT.2017","HEIGHT.2021"
"374","160120B","160120","1692",NA,NA,"PIVI2","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,9.9,NA,NA,NA,NA,NA
"375","160120A","160120","1692",NA,NA,"PIVI2","standing broken",NA,NA,"3",NA,NA,9,NA,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA
"376","160148A","160148","1693",9,1,"PIVI2","standing dead","Snag","Snag","2","2",2,NA,NA,NA,21.1,20.3,20.2,19.9,NA,20,NA,NA,NA,NA,12,15
"377","160161A","160161","1694",NA,NA,"PIVI2","standing dead",NA,NA,"3",NA,NA,NA,NA,NA,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","160186A","160186","1695",NA,NA,"LITU","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"379","160186B","160186","1694",NA,NA,"LITU","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA
"380","160226A","160226","1672",NA,NA,"LITU","lying cut",NA,NA,"2",NA,NA,NA,NA,NA,16.6,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA
"381","160226B","160226","1672",NA,NA,"LITU","lying cut",NA,NA,"2",NA,NA,NA,NA,NA,10.2,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA
"382","160279A","160279","1698",NA,NA,"RHAR3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","160280A","160280","1698",NA,NA,"RHAR3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","160400A","160400","1684",NA,NA,"ULAM","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,12.6,NA,NA,NA,NA,NA
"385","160407A","160407","1694",NA,NA,"LITU","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","160644A","160644","1687",NA,NA,"LITU","lying cut",NA,NA,"1",NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","160800A","160800","1645",1,4.7,"PLOC","standing broken","Snag","Log","3","4",4,36.5,NA,39.5,52.4,52.3,50.3,50.7,NA,56.1,NA,NA,3,13.4,3,NA
"388","160800B","160800","1645",NA,NA,"PLOC","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA
"389","160961A","160961","1641",5.4,0.6,"CACA18","lying whole","Log",NA,"1",NA,NA,NA,NA,NA,13.8,15.1,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA
"390","161108A","161108","1645",NA,NA,"LITU","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA
"391","161567A","161567","1636",8.5,1,"QUPA2","standing dead","Snag","Log","3","3",4,NA,NA,52.6,117,117.3,114.7,NA,NA,100,NA,NA,20,NA,NA,NA
"392","161938A","161938","1622",NA,NA,"LIST2","standing broken",NA,NA,"2",NA,NA,12.4,NA,NA,19.6,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA
"393","161938B","161938","1612",NA,NA,"LIST2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,12.4,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA
"394","162431B","162431","16109",NA,NA,"QUAL","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,26.2,NA,NA,NA,NA,NA,16.2,NA,NA,NA,NA,NA
"395","162431A","162431","16109",6.5,8,"QUAL","standing broken","Snag","Snag","3","4",3,26.2,NA,NA,80.5,69.5,75.8,NA,NA,NA,NA,NA,NA,6.1,6,NA
"396","162435A","162435","16109",3.8,8.4,"UNKN","standing dead","Snag","Snag","3","4",3,NA,NA,NA,49.6,50,49.8,48.6,NA,NA,NA,NA,NA,NA,5,NA
"397","162457A","162457","1699",5.3,8,"FAGR","standing dead","NF",NA,"2",NA,NA,NA,NA,NA,30.6,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","162458A","162458","1699",1.9,5.4,"QUAL","standing broken","NF",NA,"3",NA,NA,NA,NA,NA,36.8,36,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA
"399","162465A","162465","1699",NA,NA,"FAGR","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","162633A","162633","1658",NA,NA,"LITU","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA
"401","162684A","162684","1689",NA,NA,"LIST2","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,25.3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"402","162685A","162685","1689",7,7.4,"FAGR","standing dead","Consumed",NA,"2",NA,NA,NA,NA,NA,15.5,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","162687A","162687","1689",NA,NA,"FAGR","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","162689A","162689","1689",NA,NA,"FAGR","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","162691A","162691","1689",NA,NA,"CACA18","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","162692A","162692","1689",NA,NA,"CACA18","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","162693A","162693","1689",0.8,3.7,"FAGR","standing dead","Consumed",NA,"2",NA,NA,NA,NA,NA,11.9,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","162695A","162695","1689",NA,NA,"FAGR","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","162696A","162696","1689",1.1,9.9,"ACRU","standing dead","NF",NA,"2",NA,NA,NA,NA,NA,28.5,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","162706A","162706","1679",9.8,6.4,"ACRU","standing dead","Consumed",NA,"2",NA,NA,NA,NA,NA,23.2,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","162707A","162707","1689",NA,NA,"ULAM","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","162752A","162752","1669",1.4,5.8,"PLOC","standing broken","Snag","Snag","3","4",4,NA,NA,NA,74.4,75.7,67.5,65,NA,NA,NA,NA,NA,4,4,NA
"413","162765A","162765","161010",3.8,1.5,"UNKN","standing broken","NF","Log","3",NA,3,NA,NA,NA,NA,42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","162770A","162770","16810",NA,NA,"ACRU","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,30.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","162771A","162771","16810",6.8,7,"ACRU","standing dead","Snag",NA,"2","4",NA,NA,NA,NA,53.4,52.4,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA
"416","162785A","162785","16310",NA,NA,"UNKN","standing broken",NA,NA,"3",NA,NA,52.5,NA,NA,54.7,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
"417","162785B","162785","16310",NA,NA,"UNKN","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,52.5,NA,NA,NA,NA,NA,18.1,NA,NA,NA,NA,NA
"418","162787A","162787","16210",NA,NA,"PLOC","stump",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","163184A","163184","1642",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","20006A","20006","211",NA,NA,"QURU","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA
"421","20109A","20109","222",NA,NA,"QURU","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA
"422","20132B","20132","224",NA,NA,"FAGR","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA
"423","20132A","20132","224",NA,NA,"FAGR","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA
"424","20145A","20145","226",8.8,4.1,"LIST2","standing broken","Log",NA,"1","4",5,32.3,NA,NA,49.2,49,NA,NA,NA,NA,NA,9,NA,7,NA,NA
"425","20145B","20145","226",NA,NA,"LIST2","standing broken",NA,NA,"1",NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,16.2,NA,NA,NA,NA,NA
"426","20180A","20180","229",NA,NA,"CACA18","standing broken",NA,NA,"2",NA,NA,7.5,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA
"427","20180B","20180","229",NA,NA,"CACA18","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA
"428","20207A","20207","219",NA,NA,"CACA18","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA
"429","20222A","20222","2110",NA,NA,"CACA18","standing broken",NA,NA,"2",NA,NA,11.1,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA
"430","20222B","20222","2110",NA,NA,"CACA18","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA
"431","20223C","20223","2110",NA,NA,"CACA18","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"432","20223B","20223","2110",NA,NA,"CACA18","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA
"433","20223A","20223","2110",NA,NA,"CACA18","standing broken",NA,NA,"2",NA,NA,8,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA
"434","20239A","20239","242",3.1,0.6,"QURU","standing dead","Log","Log","2","4",4,NA,NA,NA,70.4,70.9,NA,NA,NA,NA,NA,20,NA,NA,NA,NA
"435","20288A","20288","246",NA,NA,"JUVI","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,21.8,NA,NA,23.9,NA,NA,7.9,NA,NA,NA,NA,NA
"436","20306A","20306","231",NA,NA,"QUAL","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,24.8,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA
"437","20321A","20321","232",NA,NA,"QUCO2","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,15.8,NA,NA,NA,NA,NA,13.8,NA,NA,NA,NA,NA
"438","20342A","20342","236",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA
"439","20450A","20450","255",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA
"440","20462A","20462","256",NA,NA,"CATO6","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,11.6,NA,NA,NA,NA,NA
"441","20488A","20488","258",0.2,8.6,"COFL2","standing dead","Log","Log","1","4",2,NA,NA,NA,13,12.8,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"442","20516A","20516","248",NA,NA,"CACA18","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA
"443","20527A","20527","249",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,11.3,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA
"444","20552A","20552","2410",NA,NA,"UNKN","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","20587A","20587","2510",9.2,7.8,"LIST2","standing dead","Log","Log","2","4",3,NA,NA,NA,10.9,10.4,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA
"446","20625A","20625","272",NA,NA,"CACA18","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"447","20625B","20625","272",NA,NA,"CACA18","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA
"448","20635A","20635","273",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA
"449","20645A","20645","274",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"450","20690A","20690","278",NA,NA,"CATO6","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,19.7,NA,NA,NA,NA,NA
"451","20690B","20690","297",NA,NA,"CATO6","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,14.8,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA
"452","20708A","20708","262",3.9,1.8,"CARYA","standing dead","Snag","Log","2","3",3,NA,NA,NA,33.2,33.4,32.4,36.6,NA,NA,NA,NA,NA,NA,10,NA
"453","20718A","20718","263",NA,NA,"FAGR","standing broken",NA,NA,"2",NA,NA,9.6,NA,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
"454","20718C","20718","252",NA,NA,"FAGR","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA
"455","20718B","20718","263",NA,NA,"FAGR","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,9.6,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA
"456","20743A","20743","264",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA
"457","20756A","20756","265",NA,NA,"CACA18","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","20759A","20759","265",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA
"459","20782A","20782","2610",NA,NA,"CACA18","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA
"460","20803A","20803","281",NA,NA,"CACO15","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","20808A","20808","281",NA,NA,"FAGR","lying whole",NA,NA,"1",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA
"462","20820A","20820","282",6.8,4,"LIST2","standing broken","Snag","Log","2","3",3,17.8,16.4,NA,21.7,21.6,21.5,NA,NA,NA,NA,NA,NA,4,4,NA
"463","20820B","20820","282",6.8,4,"LIST2","standing broken","Log","Log","2","3",3,NA,NA,NA,17.8,NA,NA,NA,NA,NA,12.3,10,NA,NA,NA,NA
"464","20827A","20827","282",NA,NA,"QURU","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,54.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","20835A","20835","283",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,14.1,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
"466","20875A","20875","287",NA,NA,"CACA18","stump",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","20878A","20878","288",NA,NA,"CACA18","standing broken",NA,NA,"2",NA,NA,5.5,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA
"468","20878B","20878","288",NA,NA,"CACA18","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA
"469","20887C","20887","287",NA,NA,"CATO6","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,20.8,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"470","20887B","20887","288",NA,NA,"CATO6","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,31.7,NA,NA,NA,NA,NA,11.2,NA,NA,NA,NA,NA
"471","20887A","20887","288",2.2,5.6,"CATO6","standing broken","Log","Log","2","4",5,31.7,NA,NA,42.3,42,NA,NA,NA,NA,NA,12,NA,14,NA,NA
"472","20887D","20887","287",NA,NA,"CATO6","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,15.7,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA
"473","20904A","20904","2610",NA,NA,"LIST2","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474","20927A","20927","291",9.8,3.1,"FAGR","standing dead","Log",NA,"2","4",NA,NA,NA,NA,20.9,20.1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"475","20954A","20954","293",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA
"476","20962A","20962","294",NA,NA,"COFL2","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","20964A","20964","294",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA
"478","20970A","20970","294",NA,NA,"LIST2","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479","20980B","20980","295",NA,NA,"LIST2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,19.6,NA,NA,NA,NA,NA,10.8,NA,NA,NA,NA,NA
"480","20980A","20980","295",8.2,9.4,"LIST2","standing broken","Snag",NA,"2","4",NA,19.6,NA,NA,25.7,25.2,24.1,22.4,NA,NA,NA,NA,NA,2.4,4,NA
"481","20988A","20988","293",NA,NA,"COFL2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","21005A","21005","297",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA
"483","21032A","21032","2910",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA
"484","21033A","21033","2910",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA
"485","21098A","21098","2106",NA,NA,"CACA18","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"486","21119A","21119","289",NA,NA,"LIST2","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,15.9,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA
"487","21233B","21233","2108",NA,NA,"COFL2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA
"488","21233A","21233","2108",NA,NA,"COFL2","standing broken",NA,NA,"2",NA,NA,6.4,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA
"489","21253C","21253","298",NA,NA,"CATO6","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,14.8,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA
"490","21253B","21253","2109",NA,NA,"CATO6","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"491","21253A","21253","2109",1.1,1.1,"CATO6","standing broken","Log","Log","2","3",5,16.5,NA,NA,20.2,19.6,NA,NA,NA,NA,NA,6,NA,6,NA,NA
"492","21256A","21256","2109",NA,NA,"CACA18","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"493","21257A","21257","2109",NA,NA,"CACA18","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"494","21529A","21529","232",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA
"495","21541A","21541","244",0.4,4.7,"QURU","standing dead","Snag","Log","2","3",4,NA,22.5,NA,39.7,40,38,38.8,NA,NA,NA,NA,NA,NA,6,NA
"496","21555B","21555","274",NA,NA,"COFL2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA
"497","21555A","21555","274",NA,NA,"COFL2","standing broken",NA,NA,"2",NA,NA,7.6,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"498","21558A","21558","284",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA
"499","21566A","21566","294",NA,NA,"CACA18","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA
"500","30050A","30050","315",1.4,0.5,"LITU","lying whole","Log","Log","2","4",5,NA,NA,NA,34.7,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA
"501","30066A","30066","316",0.4,4.8,"FRPE","lying whole","Log",NA,"1","1",NA,NA,NA,NA,35.3,NA,NA,NA,NA,NA,4.2,4.2,NA,NA,NA,NA
"502","30073A","30073","316",8.4,7,"CATO6","lying whole","Log","Log","1","2",3,NA,NA,NA,42.5,NA,NA,NA,NA,NA,9.24,9.24,NA,NA,NA,NA
"503","30145A","30145","325",1.5,4.6,"UNKN","standing dead","Snag","Snag","3","3",3,NA,NA,NA,26.5,26.2,27.2,25.8,NA,NA,NA,NA,NA,NA,7,NA
"504","30154B","30154","325",9,8.5,"LITU","standing broken","Log","Log","3","4",4,NA,NA,NA,15.5,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA
"505","30154A","30154","325",9,8.5,"LITU","standing broken","Snag","Snag","3","3",4,15.5,NA,NA,20.8,20.9,20.5,19.2,NA,NA,NA,NA,NA,NA,1.8,NA
"506","30154C","30154","325",9,8.5,"LITU","standing broken","Log","Log","3","4",4,NA,NA,NA,12.8,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA
"507","30198A","30198","329",3.9,8,"CACA18","lying whole","Log",NA,"3","3",NA,NA,NA,NA,21.2,NA,NA,NA,NA,NA,8.8,8.8,NA,NA,NA,NA
"508","30201A","30201","331",NA,NA,"CACA18","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA
"509","30209A","30209","331",NA,NA,"LITU","lying broken",NA,NA,"3",NA,NA,NA,NA,NA,16.7,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA
"510","30209B","30209","331",NA,NA,"LITU","lying broken",NA,NA,"3",NA,NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA
"511","30243A","30243","335",NA,NA,"UNKN","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,50.9,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA
"512","30259A","30259","336",7.9,9.4,"CACA18","live buds","Log",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"513","30424A","30424","351",3.3,0.8,"QUAL","lying whole","Log","Log","1","1",3,NA,NA,NA,93.4,NA,NA,NA,NA,NA,6.4,6.4,17,NA,NA,NA
"514","30498A","30498","349",NA,NA,"FAGR","lying broken",NA,NA,"3",NA,NA,NA,NA,NA,14.2,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA
"515","30498C","30498","349",NA,NA,"FAGR","lying broken",NA,NA,"3",NA,NA,NA,NA,NA,12.9,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA
"516","30498B","30498","349",NA,NA,"FAGR","lying broken",NA,NA,"3",NA,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA
"517","30528A","30528","371",2.7,4.4,"FAGR","standing broken","Snag","Snag","1","2",2,30.7,NA,NA,37.1,37.9,37.8,37.9,NA,37.5,NA,NA,NA,3,4,4
"518","30528B","30528","371",NA,NA,"FAGR","standing broken",NA,NA,"1",NA,NA,NA,NA,NA,30.7,NA,NA,NA,NA,NA,10.8,NA,NA,NA,NA,NA
"519","30606A","30606","3210",8.3,0.4,"LITU","lying broken","Log","Log","3","4",4,NA,NA,NA,12.8,NA,NA,NA,NA,NA,4.1,2,NA,NA,NA,NA
"520","30606C","30606","3210",8.3,0.4,"LITU","lying broken","Log",NA,"3","4",NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,2.4,2,NA,NA,NA,NA
"521","30606B","30606","3210",8.3,0.4,"LITU","lying broken","Log",NA,"3",NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA
"522","30610A","30610","3210",4.7,6,"CACA18","lying whole","Log",NA,"3","3",NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA,2.6,2.6,NA,NA,NA,NA
"523","30618A","30618","361",NA,NA,"LITU","lying whole",NA,"Log","1",NA,3,NA,NA,32.1,45.3,NA,NA,NA,NA,39.2,28,NA,10.3,NA,NA,NA
"524","30622A","30622","361",8.8,2.3,"FAGR","lying whole","Snag","Log","1",NA,4,NA,NA,NA,33,32.1,NA,NA,NA,NA,20,NA,NA,NA,NA,NA
"525","30624B","30624","361",3.9,2.2,"LIST2","standing broken","Log","Log","1","2",4,NA,21.3,NA,25.7,NA,NA,NA,NA,NA,14.8,14,NA,NA,NA,NA
